epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3333333432674408,0.0010000000474974513,1.1051256656646729,0.2916666567325592,1.1825294494628906
1,0.4166666567325592,0.0010000000474974513,1.0569380521774292,0.1666666716337204,1.137213110923767
2,0.375,0.0010000000474974513,1.0162278413772583,0.2916666567325592,1.08014976978302
3,0.6041666865348816,0.0010000000474974513,0.9756793975830078,0.4166666567325592,1.019903302192688
4,0.3854166567325592,0.0010000000474974513,0.9421694278717041,0.4166666567325592,0.9593708515167236
5,0.5104166865348816,0.0010000000474974513,0.9130876660346985,0.7916666865348816,0.9101960062980652
6,0.625,0.0010000000474974513,0.8841344714164734,0.7916666865348816,0.8703463673591614
7,0.6770833134651184,0.0010000000474974513,0.8550739884376526,0.9166666865348816,0.8368961215019226
8,0.8333333134651184,0.0010000000474974513,0.8237863183021545,0.9166666865348816,0.7992437481880188
9,0.9166666865348816,0.0010000000474974513,0.7957684397697449,1.0,0.7611766457557678
10,0.90625,0.0010000000474974513,0.7675621509552002,0.9583333134651184,0.7204018235206604
11,0.9270833134651184,0.0010000000474974513,0.7414603233337402,1.0,0.6893215179443359
12,0.9270833134651184,0.0010000000474974513,0.7112252116203308,0.9583333134651184,0.6446707248687744
13,0.90625,0.0010000000474974513,0.6802897453308105,0.9166666865348816,0.5983192920684814
14,0.7916666865348816,0.0010000000474974513,0.651802659034729,0.875,0.5523809790611267
15,0.8125,0.0010000000474974513,0.6206957697868347,0.9166666865348816,0.5258896350860596
16,0.8854166865348816,0.0010000000474974513,0.5908554792404175,1.0,0.5050117373466492
17,0.90625,0.0010000000474974513,0.5661339163780212,1.0,0.47352340817451477
18,0.9479166865348816,0.0010000000474974513,0.54217129945755,1.0,0.44997477531433105
19,0.9479166865348816,0.0010000000474974513,0.5200883746147156,1.0,0.4187709391117096
20,0.9375,0.0010000000474974513,0.49962806701660156,1.0,0.39459872245788574
21,0.96875,0.0010000000474974513,0.4773523509502411,1.0,0.3849753141403198
22,0.96875,0.0010000000474974513,0.4566904306411743,1.0,0.3669372498989105
23,0.9479166865348816,0.0010000000474974513,0.44496503472328186,1.0,0.34208154678344727
24,0.9583333134651184,0.0010000000474974513,0.4266805350780487,1.0,0.3293633460998535
25,0.9791666865348816,0.0010000000474974513,0.411157488822937,1.0,0.32971811294555664
26,0.96875,0.0010000000474974513,0.4001453220844269,1.0,0.3225277364253998
27,0.96875,0.0010000000474974513,0.38625967502593994,1.0,0.29987987875938416
28,0.96875,0.0010000000474974513,0.372096985578537,1.0,0.2835928499698639
29,0.9583333134651184,0.0010000000474974513,0.36271920800209045,1.0,0.2705996036529541
30,0.9583333134651184,0.0010000000474974513,0.35299816727638245,1.0,0.26785382628440857
31,0.96875,0.0010000000474974513,0.33987435698509216,1.0,0.25948306918144226
32,0.96875,0.0010000000474974513,0.330162912607193,1.0,0.2505907118320465
33,0.96875,0.0010000000474974513,0.32046499848365784,1.0,0.2422766238451004
34,0.96875,0.0010000000474974513,0.31217053532600403,1.0,0.23157982528209686
35,0.96875,0.0010000000474974513,0.3030424416065216,1.0,0.23209261894226074
36,0.96875,0.0010000000474974513,0.297000914812088,1.0,0.2176598310470581
37,0.96875,0.0010000000474974513,0.28699150681495667,1.0,0.21756362915039062
38,0.9791666865348816,0.0010000000474974513,0.2775907814502716,1.0,0.21202528476715088
39,0.9791666865348816,0.0010000000474974513,0.2697386145591736,1.0,0.2027539163827896
40,0.96875,0.0010000000474974513,0.261913537979126,1.0,0.19168949127197266
41,0.96875,0.0010000000474974513,0.2562614977359772,1.0,0.18456757068634033
42,0.96875,0.0010000000474974513,0.24896381795406342,1.0,0.1869896501302719
43,0.96875,0.0010000000474974513,0.2427094429731369,1.0,0.18156826496124268
44,0.96875,0.0010000000474974513,0.23563140630722046,1.0,0.17433877289295197
45,0.96875,0.0010000000474974513,0.23034854233264923,1.0,0.16661521792411804
46,0.96875,0.0010000000474974513,0.2232026308774948,1.0,0.16684465110301971
47,0.96875,0.0010000000474974513,0.21734873950481415,1.0,0.1624840945005417
48,0.96875,0.0010000000474974513,0.21362833678722382,1.0,0.15428800880908966
49,0.9791666865348816,0.0010000000474974513,0.20845194160938263,1.0,0.15666069090366364
50,0.96875,0.0010000000474974513,0.20131947100162506,1.0,0.14825333654880524
51,0.96875,0.0010000000474974513,0.19672417640686035,1.0,0.14411060512065887
52,0.96875,0.0010000000474974513,0.19266903400421143,1.0,0.13793493807315826
53,0.96875,0.0010000000474974513,0.18767113983631134,1.0,0.13787972927093506
54,0.96875,0.0010000000474974513,0.18400095403194427,1.0,0.13628171384334564
