나바,89,180
나라,44,150
바마,42,198
하차,49,194
차다,65,143
사마,69,149
다라,53,175
사차,53,177
차사,90,181
카하,89,162
마나,55,168
자사,47,195
사사,42,194
바자,83,160
카파,83,165
아하,65,194
타바,72,167
사자,58,161
카바,41,190
마다,61,176
가아,85,153
나파,51,198
파카,90,190
나아,61,184
하라,70,141
사카,68,180
마나,78,185
차다,91,157
마타,83,145
다타,83,159
차가,60,154
마가,51,161
바타,46,150
사파,48,165
가사,96,177
사사,44,151
파가,73,198
마다,76,174
다가,93,194
마바,95,189
자아,82,163
라차,78,185
아라,61,170
가파,99,146
자나,69,142
하차,41,172
사아,65,144
사파,61,179
다사,58,195
파자,76,195
바나,86,145
자자,43,172
카아,90,162
나차,68,198
카다,81,185
타나,67,178
라차,62,161
아카,44,151
자카,62,152
하타,56,161
파파,76,166
자타,54,190
자파,41,168
차다,50,165
타아,47,151
라다,89,177
다바,59,148
사마,89,148
자자,81,159
아라,43,190
사마,46,150
마다,87,164
타가,96,169
카바,81,190
카하,55,147
타가,84,169
다카,56,188
차아,57,168
나가,93,170
차나,60,178
나아,97,145
마라,96,181
나파,65,199
마아,95,179
마나,88,194
마카,40,164
카마,61,191
아바,92,196
차타,88,144
차타,63,160
라자,62,144
라다,49,151
나바,83,157
다파,64,155
카라,51,161
하나,72,187
다파,92,161
자타,89,192
사하,64,143
라바,44,197
가파,83,140
바파,71,195
라가,88,165
하라,55,173
아마,46,194
가다,98,195
차가,63,161
사마,66,164
하사,97,165
마사,98,183
사라,41,195
차하,75,175
라자,41,180
라타,48,173
하나,74,170
라바,66,174
라바,53,146
바다,43,189
다마,76,189
자아,86,185
다마,96,162
차다,49,171
아라,80,173
타바,48,148
차아,86,197
가카,46,149
바사,83,187
타타,86,199
사아,71,145
라카,78,157
다가,76,180
사가,78,198
자자,97,163
타자,59,148
사다,95,149
타파,96,183
하바,69,194
파가,78,152
사타,57,162
나라,55,178
아다,96,180
자나,64,157
가타,73,187
카자,48,173
나라,44,149
나라,52,147
파자,76,147
차다,42,155
바다,89,174
가카,73,168
아나,99,185
차카,79,163
파바,61,172
자가,84,192
자나,50,140
하가,48,142
자카,99,145
하마,97,163
타아,46,169
자나,78,151
라다,81,196
나가,62,165
라차,68,147
아파,51,149
자아,67,188
카라,99,149
바차,72,155
라아,40,187
차파,76,151
타라,94,148
아사,84,191
아타,96,168
카차,61,181
마라,74,173
아바,76,179
카가,59,170
타마,57,164
카타,72,148
바바,52,177
가바,81,164
하마,54,181
다차,61,190
라마,75,180
사차,56,186
라타,58,163
나가,69,161
바타,64,155
바파,59,180
마다,70,164
하자,80,193
라가,42,148
다아,68,141
타바,41,199
하아,71,163
마하,44,182
사카,97,175
다차,69,164
바자,83,146
다타,59,196
나다,73,143
차마,84,162
가다,97,158
다다,45,193
타카,98,196
바아,77,191
마자,71,157
마마,83,167
바타,43,174
차파,79,191
하사,65,182
마바,67,144
바카,78,146
타다,41,167
